Time_ps,Protein_RMSD
2610.0,1.1108687
2620.0,1.2219759
2630.0,1.332878
2640.0,1.2636247
2650.0,1.2195733
2660.0,1.2841208
2670.0,1.1546477
2680.0,1.0723033
2690.0,1.0881709
2700.0,1.0263027
2710.0,1.0229769
2720.0,1.0434555
2730.0,1.0189083
2740.0,0.9756419
2750.0,0.90914893
2760.0,0.97874755
2770.0,0.9417043
2780.0,0.9437365
2790.0,1.1887101
2800.0,1.072746
2810.0,1.0782791
2820.0,1.0309671
2830.0,1.1264037
2840.0,1.2695813
2850.0,1.2603736
2860.0,1.2963415
2870.0,1.1669457
2880.0,1.376937
2890.0,1.2673492
2900.0,1.1795466
2910.0,1.0651169
2920.0,1.0182757
2930.0,0.98146343
2940.0,0.87350285
2950.0,1.0414388
2960.0,1.0104033
2970.0,1.0376387
2980.0,1.086565
2990.0,1.0421224
3000.0,1.0503544
3010.0,1.1368761
3020.0,1.1114637
3030.0,0.9907477
3040.0,1.0866274
3050.0,1.062168
3060.0,1.1301004
3070.0,1.0766584
3080.0,1.1809257
3090.0,1.1761208
3100.0,1.116076
3110.0,1.0605867
3120.0,1.0451115
3130.0,1.0988997
3140.0,1.0380471
3150.0,1.0261705
3160.0,1.2329017
3170.0,1.167178
3180.0,1.2732086
3190.0,1.1386195
3200.0,1.2283968
3210.0,1.2964592
3220.0,1.3617077
3230.0,1.4190798
3240.0,1.4459575
3250.0,1.5597306
3260.0,1.3752366
3270.0,1.3880843
3280.0,1.5649829
3290.0,1.2414393
3300.0,1.2813056
3310.0,1.1587664
3320.0,1.1296952
3330.0,1.0352995
3340.0,1.0156751
3350.0,0.93999237
3360.0,0.9978071
3370.0,1.0492723
3380.0,1.0168095
3390.0,1.2549138
3400.0,1.2053664
3410.0,1.200405
3420.0,1.1588249
3430.0,1.2846093
3440.0,1.1745774
3450.0,1.1050231
3460.0,0.9483601
3470.0,0.9174653
3480.0,1.0111413
3490.0,0.977881
3500.0,1.1539867
3510.0,1.2240969
3520.0,1.2434726
3530.0,1.1222115
3540.0,1.0313289
3550.0,1.189651
3560.0,1.1958202
3570.0,1.0443811
3580.0,0.9557327
3590.0,1.0840342
3600.0,1.1313598
3610.0,1.1247016
3620.0,1.0669618
3630.0,1.1857255
3640.0,1.0303915
3650.0,1.2202126
3660.0,1.0776815
3670.0,1.0329058
3680.0,1.075855
3690.0,1.075587
3700.0,1.0616252
3710.0,1.0332177
3720.0,1.1652737
3730.0,1.2342212
3740.0,1.1378152
3750.0,0.9719858
3760.0,0.9496821
3770.0,1.036167
3780.0,1.01969
3790.0,0.9182966
3800.0,1.0938431
3810.0,1.1227856
3820.0,1.0068396
3830.0,1.1797335
3840.0,1.2503933
3850.0,1.3763704
3860.0,1.3637854
3870.0,1.4244101
3880.0,1.3482946
3890.0,1.1595708
3900.0,1.0777916
3910.0,1.0023167
3920.0,1.19372
3930.0,1.1011653
3940.0,1.1953238
3950.0,1.1184736
3960.0,1.2438952
3970.0,1.2089057
3980.0,1.0972631
3990.0,1.115681
