Time_ps,RMSD_Å
2970.0,1.9220005
2980.0,1.9922823
2990.0,1.9089192
3000.0,2.0448935
3010.0,1.9678702
3020.0,1.9364445
3030.0,1.7770932
3040.0,1.8523862
3050.0,1.8377051
3060.0,1.8947744
3070.0,1.9166675
3080.0,1.9626706
3090.0,2.0183694
3100.0,2.0401719
3110.0,2.018361
3120.0,2.0182185
3130.0,2.0725803
3140.0,1.9864395
3150.0,1.8950067
3160.0,1.887492
3170.0,1.9928766
3180.0,2.183614
3190.0,2.034525
3200.0,2.0569787
3210.0,1.9732279
3220.0,1.9918746
3230.0,2.0452907
3240.0,2.0729475
3250.0,2.150377
3260.0,2.0304878
3270.0,2.0026836
3280.0,2.2108874
3290.0,2.051609
3300.0,2.0654087
3310.0,1.9679649
3320.0,1.9414358
3330.0,1.8565648
3340.0,1.8040789
3350.0,1.8258457
3360.0,1.8717216
3370.0,1.946162
3380.0,1.9540657
3390.0,2.055646
3400.0,1.9946332
3410.0,2.025599
3420.0,2.1287575
3430.0,2.171579
3440.0,2.209027
3450.0,2.0998297
3460.0,1.9304063
3470.0,1.9852723
3480.0,1.8878953
3490.0,1.8855189
3500.0,2.0746772
3510.0,2.0605783
3520.0,2.0641632
3530.0,1.9664598
3540.0,1.9173117
3550.0,1.9067376
3560.0,1.9310373
3570.0,1.9435956
3580.0,1.877579
3590.0,1.7699764
3600.0,1.8947923
3610.0,1.8639315
3620.0,1.7756739
3630.0,1.9340053
3640.0,1.8348858
3650.0,1.9073851
3660.0,1.829049
3670.0,1.8612521
3680.0,1.917903
3690.0,1.838423
3700.0,1.9148923
3710.0,1.8634596
3720.0,1.9227487
3730.0,1.9858687
3740.0,2.0089421
3750.0,1.8726976
3760.0,1.8894361
3770.0,1.8656373
3780.0,1.9132305
3790.0,1.8881192
3800.0,1.9162261
3810.0,1.9414184
3820.0,1.8780024
3830.0,1.943735
3840.0,2.0311294
3850.0,2.19874
3860.0,2.31483
3870.0,2.175393
3880.0,2.1391835
3890.0,1.979614
3900.0,1.9630067
3910.0,1.946866
3920.0,2.082337
3930.0,1.9506514
3940.0,2.012426
3950.0,1.9848461
3960.0,2.041258
3970.0,2.0012214
3980.0,1.9484645
3990.0,1.9167292
4000.0,1.9469876
4010.0,1.8459541
4020.0,2.002582
4030.0,1.7796903
4040.0,1.885133
4050.0,1.9083785
4060.0,1.7559361
4070.0,1.892487
4080.0,1.9410871
4090.0,1.9315894
4100.0,1.9766117
4110.0,1.9521253
4120.0,2.0158868
4130.0,1.9931653
4140.0,1.901771
4150.0,1.9885592
4160.0,1.9428992
4170.0,1.8804872
4180.0,1.7920536
4190.0,1.8384968
4200.0,1.897906
4210.0,1.8643945
4220.0,1.8755143
4230.0,1.7849872
4240.0,1.8213644
4250.0,1.888639
4260.0,1.814608
4270.0,1.8199055
4280.0,1.8906267
4290.0,1.9177
4300.0,1.8637409
4310.0,1.8848369
4320.0,1.7596707
4330.0,1.8030939
4340.0,1.9243934
4350.0,1.7992897
4360.0,1.7889447
4370.0,1.7133126
4380.0,1.9554938
4390.0,1.878813
4400.0,1.866952
4410.0,1.8055881
4420.0,1.8140204
4430.0,1.9326489
4440.0,1.8446429
4450.0,1.9161556
4460.0,1.9719328
4470.0,1.9999869
4480.0,1.9514666
4490.0,2.0718536
4500.0,2.0523427
4510.0,1.90202
4520.0,1.928179
4530.0,1.9546545
4540.0,1.9201599
4550.0,1.7952983
4560.0,1.966649
4570.0,1.8267535
4580.0,1.8262162
4590.0,1.8076577
4600.0,1.8891315
4610.0,1.8584956
4620.0,1.928916
4630.0,1.9462663
4640.0,1.8780205
4650.0,1.9054949
4660.0,1.8257993
4670.0,1.8612065
4680.0,1.8772274
4690.0,1.8513263
4700.0,1.9103544
4710.0,1.9873506
4720.0,1.9787592
4730.0,1.9796739
4740.0,2.0473657
4750.0,1.9445966
4760.0,2.0347495
4770.0,1.9972525
4780.0,1.984974
4790.0,2.0210752
4800.0,2.0359383
4810.0,2.0751503
4820.0,1.9233029
4830.0,2.0439997
4840.0,1.9526019
4850.0,1.9183705
4860.0,1.9723103
4870.0,1.8372908
4880.0,1.9710231
4890.0,1.904589
4900.0,1.8713148
4910.0,1.9473873
4920.0,1.899216
4930.0,1.8596424
4940.0,1.8844149
4950.0,1.9600136
4960.0,1.9367852
4970.0,1.9308709
4980.0,1.9921379
4990.0,2.022615
5000.0,2.015123
