Time_ns,Protein_RMSD,Ligand_RMSD
3.91,1.0023167,0.15871218
3.92,1.19372,0.3345163
3.93,1.1011653,0.23280369
3.94,1.1953238,0.21163961
3.95,1.1184736,0.2077741
3.96,1.2438952,0.27591586
3.97,1.2089057,0.18644081
3.98,1.0972631,0.34420595
3.99,1.115681,0.25967005
4.0,1.2100972,0.2390138
4.01,1.0614655,0.15733045
4.02,1.2123508,0.22058439
4.03,0.9793364,0.27623403
4.04,1.0166595,0.17361201
4.05,1.0119627,0.27347192
4.06,0.9479667,0.2394046
4.07,1.1696159,0.37526667
4.08,1.2847544,0.3389175
4.09,1.1901783,0.25695452
4.1,1.2431043,0.24393238
4.11,1.1840084,0.36852
4.12,1.1855395,0.29832515
4.13,1.2026204,0.2777494
4.14,1.1548532,0.32261395
4.15,1.2610863,0.2895826
4.16,1.2347294,0.28753224
4.17,1.10697,0.22658399
4.18,1.1027654,0.23737806
4.19,0.907581,0.2859261
4.2,0.9936184,0.25490013
4.21,0.9137991,0.14733
4.22,0.9561229,0.28270864
4.23,0.8637829,0.25805098
4.24,0.8661938,0.2841939
4.25,0.9249559,0.24949667
4.26,0.8696318,0.29473028
4.27,0.9209697,0.27129054
4.28,0.91635585,0.2634338
4.29,0.93842185,0.27561098
4.3,0.88253975,0.21618874
4.31,1.0805724,0.28396863
4.32,1.0208699,0.21616262
4.33,0.94996774,0.24962237
4.34,1.0372956,0.29222038
4.35,0.9175023,0.24943127
4.36,0.8442482,0.23843823
4.37,0.9637352,0.22499174
4.38,1.1336205,0.15620181
4.39,1.0309343,0.37634188
4.4,1.1216373,0.31410608
4.41,1.0379491,0.38766322
4.42,0.88027,0.17757815
4.43,0.9902855,0.2862682
4.44,0.93755424,0.20539606
4.45,0.99612355,0.2531465
4.46,1.1041023,0.2165599
4.47,1.3822705,0.18964392
4.48,1.3621683,0.27922732
4.49,1.4940975,0.22376138
4.5,1.4340187,0.347735
4.51,1.1661317,0.21148242
4.52,1.1576246,0.33815947
4.53,1.1660154,0.325086
4.54,1.1513244,0.1304485
4.55,1.0328238,0.3500082
4.56,1.2164413,0.26389068
4.57,1.026121,0.10755613
4.58,0.97992474,0.7916174
4.59,1.0102521,0.1836845
4.6,0.9955447,0.174452
4.61,0.99741626,0.15141693
4.62,1.0493369,0.37380424
4.63,1.1405982,0.33492115
4.64,1.0856284,0.21911465
4.65,1.0814819,0.1542414
4.66,0.99115825,0.18983239
4.67,1.0394508,0.16875938
4.68,1.026154,0.3409109
4.69,0.9276647,0.42637473
4.7,1.1044706,0.15879911
4.71,1.0682005,0.40920675
4.72,1.0169263,0.24131277
4.73,1.1020579,0.2460962
4.74,1.101581,0.27792552
4.75,1.0925403,0.33926162
4.76,1.1433152,0.19393273
4.77,1.1414601,0.26508865
4.78,1.0553143,0.13653046
4.79,1.1204274,0.16703291
4.8,1.1591468,0.34851897
4.81,1.1022887,0.2952471
4.82,1.0322819,0.4523379
4.83,1.2788023,0.16562968
4.84,1.2707427,0.35227206
4.85,1.093998,0.20245783
4.86,1.040429,0.18507627
4.87,0.94375443,0.3997649
4.88,1.1109145,0.23889041
4.89,1.0042094,0.31568214
4.9,1.036347,0.22120073
4.91,1.033923,0.34790096
4.92,1.1052839,0.2422185
4.93,1.0530144,0.30319
4.94,1.1433597,0.4875148
4.95,1.2011956,0.19535425
4.96,1.0606346,0.24321629
4.97,1.0470887,0.51526976
4.98,1.1699493,0.3403971
4.99,1.1874685,0.26000568
5.0,1.2649256,0.2647168
